id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,artist_familiarity,production_quality
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,"uplifting,energetic,modern",0.7,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,"relaxing,focused,minimalist",0.4,0.75
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,"powerful,aggressive,driving",0.5,0.78
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,68,2020s,"atmospheric,introspective,calm",0.35,0.80
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,"energetic,motivating,pop",0.75,0.85
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010s,"meditative,spacey,ethereal",0.25,0.72
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,2000s,"sophisticated,mellow,smooth",0.45,0.88
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,60,2020s,"nostalgic,atmospheric,dark",0.55,0.81
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020s,"studious,peaceful,ambient",0.40,0.77
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,65,2010s,"catchy,indie,upbeat",0.48,0.79
11,Electric Dreams,Synth Nexus,electronic,energetic,0.88,128,0.79,0.84,0.08,70,2020s,"synth,modern,futuristic",0.52,0.83
12,Midnight Melancholy,Blue Notes Trio,R&B,melancholic,0.45,95,0.42,0.64,0.72,58,2000s,"soulful,mournful,introspective",0.50,0.86
13,Piano Nocturne,Classical Ensemble,classical,peaceful,0.22,70,0.68,0.15,0.94,48,1990s,"classical,serene,elegant",0.60,0.92
14,Sunset Horizon,Coastal Folk,folk,romantic,0.58,105,0.75,0.48,0.81,52,2010s,"acoustic,folk,heartfelt",0.42,0.84
15,Bass Drop Thunder,DJ Impulse,house,intense,0.95,130,0.65,0.91,0.12,76,2020s,"electronic,bass-heavy,club",0.65,0.81
16,Whispers in the Rain,Indie Soul,indie,melancholic,0.35,88,0.48,0.54,0.78,50,2010s,"indie,emotional,rainy",0.38,0.80
17,Neon Nights,Synthwave Masters,synthwave,moody,0.81,115,0.51,0.76,0.19,62,2020s,"retro-synth,dreamy,nostalgic",0.58,0.84
18,Rising Sun,Trap Collective,hip-hop,uplifting,0.72,110,0.74,0.71,0.31,73,2020s,"hip-hop,uplifting,urban",0.68,0.79
19,Tabla Dreams,Ravi Ensemble,Indian classical,focused,0.48,88,0.62,0.35,0.88,42,2000s,"Indian,world,instrumental",0.35,0.90
20,Desert Wind,Sahara Voices,world music,contemplative,0.32,75,0.54,0.28,0.91,38,1990s,"world,tribal,meditative",0.28,0.87
21,Samba Fire,Rio Collective,Latin,energetic,0.91,135,0.86,0.92,0.14,75,2020s,"Latin,percussive,celebratory",0.62,0.85
22,Neon Mambo,Havana Nights,reggaeton,intense,0.89,126,0.72,0.88,0.09,79,2020s,"reggaeton,tropical,intense",0.72,0.83
23,Midnight Gospel,Soul Sanctuary,gospel,inspiring,0.73,105,0.82,0.67,0.76,64,2010s,"gospel,inspiring,spiritual",0.55,0.89
24,Seoul Pulse,K-Pop Stars,K-pop,uplifting,0.78,118,0.80,0.85,0.22,85,2020s,"K-pop,catchy,bubbly",0.80,0.87
25,Balkan Dreams,Eastern Winds,Balkan,contemplative,0.42,92,0.58,0.42,0.84,40,2010s,"Balkan,folk,contemplative",0.32,0.82
26,Jazz Blue,New York Trio,jazz fusion,introspective,0.52,98,0.48,0.58,0.68,51,2000s,"jazz,sophisticated,introspective",0.48,0.91
27,Afrobeat Groove,Lagos Rhythms,Afrobeat,energetic,0.84,120,0.76,0.81,0.36,71,2020s,"Afrobeat,rhythmic,vibrant",0.60,0.88
28,Symphony Hearts,Global Voices,world fusion,uplifting,0.65,110,0.79,0.60,0.72,56,2010s,"world fusion,uplifting,collaborative",0.44,0.89
29,Island Vibes,Reggae Roots,reggae,relaxed,0.58,100,0.71,0.64,0.82,67,2000s,"reggae,chill,laid-back",0.54,0.85
30,Steel Drum Dreams,Caribbean Ensemble,Caribbean,joyful,0.72,108,0.83,0.75,0.78,63,2010s,"Caribbean,tropical,joyful",0.50,0.86
31,Dancehall Energy,Kingston Sound,dancehall,intense,0.86,122,0.68,0.89,0.16,77,2020s,"dancehall,rhythmic,intense",0.69,0.82
32,Tropical Breeze,Island Rhythms,reggae,relaxed,0.55,95,0.74,0.62,0.79,61,2010s,"reggae,tropical,breezy",0.52,0.84
33,Beach Party,Calypso Kings,calypso,joyful,0.81,118,0.87,0.86,0.45,74,2020s,"calypso,festive,upbeat",0.66,0.80
34,Sunset Soca,Carnival Vibes,soca,energetic,0.89,130,0.85,0.90,0.28,75,2020s,"soca,carnival,pulsing",0.70,0.83
35,Mento Memories,Jamaican Heritage,mento,nostalgic,0.45,88,0.68,0.52,0.72,35,1950s,"mento,vintage,acoustic",0.28,0.88
36,Ska Spirit,Uptown Rebels,ska,uplifting,0.78,140,0.79,0.80,0.35,58,2010s,"ska,energetic,punky",0.45,0.81
37,Reggae Midnight,Roots Collective,reggae,melancholic,0.48,92,0.55,0.58,0.85,52,2000s,"reggae,soulful,conscious",0.42,0.87
38,Island Fusion,Tropical Blend,world music,uplifting,0.72,105,0.82,0.70,0.68,64,2010s,"Caribbean fusion,instrumental,warm",0.55,0.86
39,Steel Pan Dreams,Trinidad Ensemble,Caribbean,festive,0.68,102,0.80,0.72,0.81,59,2010s,"steel pan,Trinidad,melodic",0.48,0.89
40,Urban Beats,City Pulse,hip-hop,energetic,0.85,115,0.76,0.79,0.25,80,2020s,"hip-hop,urban,modern",0.75,0.82
41,Trap Energy,Beat Masters,hip-hop,intense,0.89,125,0.68,0.87,0.18,76,2020s,"trap,hard,aggressive",0.68,0.80
42,Conscious Rhymes,Underground Kings,hip-hop,reflective,0.62,105,0.55,0.64,0.42,55,2010s,"conscious,lyrical,thoughtful",0.48,0.84
43,Electric Vibes,Synth Lords,electronic,energetic,0.92,135,0.81,0.88,0.12,72,2020s,"electronic,synth-pop,futuristic",0.70,0.86
44,Ambient Flow,Space Travelers,ambient,peaceful,0.25,55,0.62,0.35,0.88,42,2010s,"ambient,atmospheric,meditative",0.32,0.78
45,Dark Ambient,Void Seekers,ambient,contemplative,0.18,50,0.45,0.25,0.92,38,2010s,"dark ambient,introspective,eerie",0.28,0.85
46,Country Roads,Nashville Hearts,country,romantic,0.55,95,0.78,0.60,0.72,58,2010s,"country,acoustic,storytelling",0.50,0.87
47,Country Roots,Southern Bells,country,nostalgic,0.48,88,0.72,0.55,0.75,52,2000s,"country,traditional,folk",0.42,0.86
48,Bluegrass Journey,Mountain Echo,country,energetic,0.71,110,0.80,0.68,0.65,48,2010s,"bluegrass,instrumental,lively",0.40,0.88
49,Blues Midnight,Smokey Voices,blues,melancholic,0.52,92,0.48,0.61,0.81,54,2000s,"blues,soulful,mournful",0.45,0.90
50,Blues Rock,Electric Tears,blues,intense,0.75,115,0.58,0.70,0.32,59,2010s,"blues rock,powerful,emotional",0.48,0.85
51,Folk Stories,Acoustic Wanderers,folk,contemplative,0.45,85,0.70,0.48,0.83,50,2010s,"folk,storytelling,intimate",0.42,0.88
52,Folk Ballad,Countryside Echoes,folk,sad,0.35,75,0.62,0.42,0.86,45,2000s,"folk,ballad,emotional",0.38,0.89
53,Metal Fury,Thunder Gods,metal,intense,0.95,160,0.35,0.72,0.08,65,2010s,"metal,heavy,aggressive",0.55,0.81
54,Metal Symphony,Orchestral Metal,metal,dramatic,0.87,140,0.52,0.65,0.15,58,2010s,"metal,symphonic,epic",0.48,0.87
55,Punk Rebellion,Street Fighters,punk,energetic,0.88,150,0.66,0.81,0.22,60,2010s,"punk,fast,rebellious",0.50,0.79
56,Indie Rock,Alternative Minds,indie rock,moody,0.68,105,0.58,0.70,0.38,62,2010s,"indie rock,experimental,artistic",0.54,0.84
57,Alternative Edge,Rebel Souls,alternative,intense,0.79,120,0.62,0.74,0.28,64,2010s,"alternative,edgy,modern",0.56,0.82
58,Psychedelic Trip,Mind Benders,psychedelic,euphoric,0.76,110,0.71,0.68,0.35,52,2000s,"psychedelic,trippy,experimental",0.46,0.83
59,Dub Vibes,Reggae Masters,reggae,relaxed,0.52,88,0.68,0.60,0.82,56,2010s,"dub,reggae,echoing",0.44,0.86
60,Dubstep Bass,Wobble Kings,dubstep,intense,0.91,140,0.45,0.85,0.10,71,2020s,"dubstep,bass-heavy,electronic",0.68,0.81
61,Liquid Drum & Bass,Smooth Vibes,drum and bass,energetic,0.84,175,0.72,0.80,0.28,69,2020s,"dnb,liquid,smooth",0.62,0.84
62,Techno Pulse,Berlin Underground,techno,intense,0.89,128,0.52,0.82,0.15,74,2020s,"techno,industrial,hypnotic",0.70,0.82
63,House Groove,Summer Nights,house,joyful,0.86,125,0.79,0.88,0.18,75,2020s,"house,dance,uplifting",0.72,0.83
64,Trance Heaven,Euphoria Soundz,trance,uplifting,0.90,135,0.85,0.89,0.12,76,2020s,"trance,euphoric,transcendent",0.74,0.84
65,Classical Concerto,Vienna Orchestra,classical,peaceful,0.35,80,0.75,0.20,0.95,50,2000s,"classical,concerto,orchestral",0.58,0.94
66,Baroque Dreams,Period Ensemble,baroque,romantic,0.40,85,0.72,0.28,0.92,42,1990s,"baroque,classical,historical",0.48,0.96
67,Opera Aria,Metropolitan Opera,opera,dramatic,0.62,100,0.85,0.35,0.88,55,2000s,"opera,dramatic,vocal",0.60,0.98
68,String Quartet,Chamber Ensemble,classical,peaceful,0.25,75,0.68,0.22,0.98,48,2000s,"classical,chamber,intimate",0.52,0.95
