rank,title,artist,genre,mood,energy,danceability,added_score
1,Bass Drop Thunder,DJ Impulse,house,intense,0.95,0.91,9.9
2,Samba Fire,Rio Collective,Latin,energetic,0.91,0.92,9.8
3,Gym Hero,Max Pulse,pop,intense,0.93,0.88,9.7
4,Electric Vibes,Synth Lords,electronic,energetic,0.92,0.88,9.6
5,Sunset Soca,Carnival Vibes,soca,energetic,0.89,0.9,9.5
6,Trance Heaven,Euphoria Soundz,trance,uplifting,0.9,0.89,9.4
7,Neon Mambo,Havana Nights,reggaeton,intense,0.89,0.88,9.3
8,Trap Energy,Beat Masters,hip-hop,intense,0.89,0.87,9.2
9,Dubstep Bass,Wobble Kings,dubstep,intense,0.91,0.85,9.1
10,Dancehall Energy,Kingston Sound,dancehall,intense,0.86,0.89,9.0
11,House Groove,Summer Nights,house,joyful,0.86,0.88,8.9
12,Electric Dreams,Synth Nexus,electronic,energetic,0.88,0.84,8.8
13,Techno Pulse,Berlin Underground,techno,intense,0.89,0.82,8.7
14,Punk Rebellion,Street Fighters,punk,energetic,0.88,0.81,8.6
15,Beach Party,Calypso Kings,calypso,joyful,0.81,0.86,8.5
